Title,Year,Discipline/Domain,Subdomain/Topic,Eligible,Actionability Term Used,Need Without Definition,Contains Definition,Contains Features/Dimensions,Contains Framework/Model,Operationalization Present,CL,CR,FE,TI,EX,GA,Overall Relevance Score,Operationalization Score,General Summary of the Paper,How Understood,What Makes Actionable,How Achieved,Quotes_TermUsed,Quotes_NeedWODef,Quotes_WhatMakes,Quotes_Dimensions,Quotes_Supporting,Domain
Learning analytics dashboard: a tool for providing actionable insights to learners,2022,Educational Technology / Learning Analytics,"Learning Analytics Dashboards (LADs), Actionable Insights, Predictive and Prescriptive Analytics",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,92,95,"The study systematically reviews 17 recently published LADs (2018Œ2021) to assess their capabilities, focusing on descriptive, predictive, and prescriptive analytics. Findings show most LADs rely on descriptive analytics; few integrate predictive analytics, and none deploy data-driven prescriptive analytics. The authors identify challenges in operationalizing LADs, such as representation & actions, ethics, and agility. Based on identified gaps, they design a state-of-the-art LAD incorporating descriptive, predictive, and prescriptive components, with transparency through model interpretability, explainability, and counterfactuals. This prototype aims to provide learners with actionable insights to adjust learning behaviors. It is currently in pilot trials.

---","Actionability is framed as the LAD™s ability to provide learners with insights that can trigger informed, specific behavioral changes to improve learning outcomes. 

> fi-understand why a model produced given predictions- what insights can be derived- in order to trigger actionable behavioral adjustments.fl (p. 8) 

> fiPrescriptive outputs- tailored to each learner- issue advice on behavioral adjustments and learning strategies- to maximize learning outcomes-fl (p. 4) 

---","- Interpretability and explainability of predictive models.

- Presentation of counterfactuals showing how specific changes could improve outcomes.

- Contextually relevant, personalized recommendations.

- Evidence-based and data-driven suggestions.

- Clarity and avoidance of cognitive overload.

- Integration of predictive accuracy and confidence communication.

- Goal alignment with learner objectives.

---","- **Framework/Approach Name(s):** Proposed Multi-Panel LAD with descriptive, predictive, prescriptive, and interpretability layers. 

- **Methods/Levers:** Machine learning models (CatBoost, scikit-learn), model interpretability tools (Anchors), counterfactual generation (Dice-ml). 

- **Operational Steps / Workflow:** Data collection from LMS (Moodle) 
®
 preprocessing 
®
 predictive modeling 
®
 feature importance analysis 
®
 counterfactual generation 
®
 visualization in Power BI dashboard panels. 

- **Data & Measures:** Engagement metrics, assignment/test scores, demographic info, predictive risk scores, model accuracy, key predictive features, recommended behavioral changes. 

- **Implementation Context:** Higher education institution pilot, 20 classes, ~4000 student dataset. 

> fi-counterfactuals indicate- minimal changes- would produce- more positive outcomes-fl (p. 17) 

> fi-conversion of a black-box predictive model into a glass-box, human interpretable model-fl (p. 16) 

---",[],[],[],[],[],Education / Learning
Latent classes from complex assessments: What do they tell us?,2020,Educational Psychology,Latent Class Analysis in Mathematics Achievement Assessment,Eligible,N/A,N/A,Implicit,Yes,Partial (applied LCA process),Yes,True,True,True,False,True,True,70,55,"This study investigates the practical and predictive value of applying Latent Class Analysis (LCA) to large-scale mathematics benchmark assessments in a diverse U.S. school district. Using pass/fail scores from two 5th-grade benchmark assessments, the authors identified latent knowledge profiles and assessed whether these profiles provided additional predictive power for end-of-year standardized math test scores beyond overall benchmark scores and demographic factors. They examined construct validity through interpretability, distribution across teachers, and predictive associations. While LCA yielded coherent and plausible latent classes, its added predictive value was modest after controlling for overall performance and background variables, with only small residual effects for some groups. The authors conclude that while LCA can enhance interpretability of test scores, its practical utility for actionable instructional guidance from broad assessments is limited without finer-grained measures.","Actionability is implicitly defined as the ability of latent classes to yield *meaningful and useful patterns of student knowledge* that can inform instruction and intervention decisions beyond what overall scores provide. 

> fi...such latent classes actually reflects actionable information for educatorsfl (p. 3) 

> fi-identifying students whose patterns of knowledge suggest they are at greater risk-than their current overall performance impliesfl (p. 3)","- Produces knowledge patterns that explain performance differences *beyond* overall scores. 

- Identifies groups where targeted instruction in specific skills would be more effective than alternatives. 

- Reflects knowledge states with different causal effects on future learning. 

- Is interpretable in relation to domain theory (e.g., fractions as a pivotal skill).",,[],[],[],[],[],Education / Learning
Knowledge Fusion for Distributed Situational Awareness driven by the WAx Conceptual Framework,2021,Crisis Management / Information Systems,"Distributed Situational Awareness, Knowledge Fusion, WAx Framework",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,False,True,True,88,82,"The authors propose a conceptual modelling approach for integrating distributed knowledge in crisis management scenarios, focusing on producing actionable knowledge through the WAx framework. WAx represents different views of work (imagined, done, disclosed, observed, prescribed, normative) and their transformations across agents. The approach models knowledge flows via fiknowledge conversion mapsfl to identify how information is transformed between agents and knowledge states. A mountain rescue case study illustrates the method, identifying key agents, relevant WAx entities, and mapping conversions to reconstruct an integrated situational picture. The paper discusses research challenges, including building platforms for managing WAx entities, automatic coherence detection, and semi-automated analysis of communication patterns.","Actionable knowledge is defined as the output of knowledge fusion that is ficonsistent, accurate, and useful for the purpose at handfl in crisis management contexts. The paper frames actionability as the capacity to integrate multiple, possibly conflicting, knowledge entities into a form that supports situational understanding and operational decisions.

> fiWe define knowledge fusion as the process of integrating multiple knowledge entities to produce actionable knowledge, which is consistent, accurate, and useful for the purpose at hand.fl (p. 2) 

> fi[...] make it actionable requires to achieve a shared understanding among the different involved actors.fl (p. 2)","- Consistency across multiple knowledge sources.

- Accuracy of information relative to the operational reality.

- Usefulness for the specific decision-making purpose.

- Integration of heterogeneous knowledge entities (human, cyber, tacit, explicit).

- Alignment with operational goals and constraints.","- **Framework/Approach Name(s):** WAx Framework with Knowledge Conversion Maps 

- **Methods/Levers:** Identification of agents, classification of WAx entities, mapping of knowledge conversions (tacit, explicit, enactment). 

- **Operational Steps / Workflow:** 

 1. Identify key agents (blunt-end, sharp-end, analysts). 

 2. Identify WAx knowledge entities for each agent. 

 3. Build knowledge conversion map (matrix linking source and target entities with conversion type). 

- **Data & Measures:** WAx entity types, knowledge conversion activities (introspection, internalisation, externalisation, conceptualization, reification, socialization, combination). 

- **Implementation Context:** Crisis management lifecycle phases (preparedness, response, recovery, mitigation). 

> fiThe final aim is to build a knowledge conversion map for each phase of the crisis management lifecycle.fl (p. 4) 

> fiThe imagined reconstructed situation...is originated by a knowledge fusion activity that takes into account all the different knowledge entities generated during on-field operations.fl (p. 5)",[],[],[],[],[],Explainable AI / ML
Investigating the electric vehicle adoption initiatives for achieving sustainable development goals,2025,Sustainable Transportation / Industrial Engineering,Electric Vehicle Adoption; Sustainable Development Goals; Multi-Criteria Decision-Making,Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,90,95,"The paper develops a hybrid decision-making and machine learning framework to identify, prioritize, and link EV adoption initiatives to specific SDGs in the Indian context. Using a systematic literature review and expert consultation, it categorizes 33 EVAIs across seven thematic areas. The Spherical Fuzzy Bayesian Best-Worst Method (SF-BBWM) is applied to prioritize initiatives, followed by Spherical Fuzzy C-Means clustering to shortlist relevant SDGs. These are ranked using Spherical Fuzzy EDAS. Findings highlight top initiatives such as subsidizing solar-powered EV charging and government incentives for production and purchase, linked most strongly to SDG11.2 (affordable and sustainable transportation), SDG17.14 (policy coherence), and SDG7.2 (renewable energy share). The study offers policy and managerial recommendations for developing nations aiming to leverage EV adoption for sustainable development.

---","Actionability is conceptualized as the ability of initiatives to directly and measurably advance specific SDG targets through structured prioritization and alignment with context-relevant barriers and opportunities in EV adoption.

> fiThe priority of these EV adoption initiatives (EVAIs) will aid policymakers and stakeholders in streamlining their focus on critical initiatives to achieve SDGs.fl (p. 2) 

> fiThese assessments offer valuable insights for EV stakeholders, assisting them in stratifying critical initiatives to enhance EV adaptability and achieve specific SDGs.fl (p. 3)

---","- Direct contribution to measurable SDG targets

- Contextual relevance to national sustainability and transport policies

- Feasibility in terms of infrastructure, technology, and socio-economic conditions

- Policy alignment and potential for government or stakeholder support

- Scalability and replicability across regions

- Integration of environmental, social, and economic considerations

---","- **Framework/Approach Name(s):** Hybrid Spherical Fuzzy MCDM + Machine Learning Framework 

- **Methods/Levers:** Systematic literature review, expert elicitation, SF-BBWM, SF-CM, SF-EDAS 

- **Operational Steps / Workflow:** 

 1. Identify EVAIs and associated SDG targets via PRISMA-guided SLR and PyPDF2 sentence extraction 

 2. Expert validation and categorization of EVAIs and SDGs 

 3. Prioritization of initiatives using SF-BBWM 

 4. SDG clustering with SF-CM to find most critical ones 

 5. SDG ranking with SF-EDAS 

 6. Sensitivity analysis and method comparison with SF-TOPSIS and SF-CODAS 

- **Data & Measures:** Expert weight assignments, linguistic scale to fuzzy number conversion, appraisal score computation 

- **Implementation Context:** Indian EV market, national and state policy framework 

> fiThe findings- highlight the top two key initiatives, namely, subsidizing solar-powered EV charging, and offering government incentives for EV production and purchases.fl (p. 1) 

> fiSF-BBWM- to prioritize these EVAIs- SF-EDAS ranks the shortlisted SDGs.fl (p. 3)

---",[],[],[],[],[],Education / Learning
Individual and Group-level considerations of Actionable Recourse,2023,Artificial Intelligence / Human-Centered Computing,"Actionable Recourse, Fairness in Machine Learning, User Preferences, Plausibility",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,85,78,"The paper explores how actionable recourse in ML decision systems can better account for individual user preferences and group-level plausibility to ensure fairness and feasibility. Current recourse methods optimize for factors like proximity, sparsity, and validity but often ignore personal constraints or socio-demographic context. The authors introduce three forms of user preferenceŠscoring continuous features, ranking categorical features, and bounding feature valuesŠand embed them in the optimization process for generating recourses. At the group level, they propose plausibility constraints based on the distribution of approved cases within the individual™s subgroup, aiming to avoid biased or impractical suggestions. Experimental results show that their method better adheres to individual preferences and mitigates plausibility bias across protected groups. 

---","Actionability is defined as the *viability of taking a suggested action* within the context of recourse for ML decisions. It encompasses both feasibility for the individual (personal constraints, preferences) and plausibility within the socio-demographic group context. 

> fiEnsure the actionability (the viability of taking a suggested action) of recourse.fl (p. n/a) 

> fiPlausibility draws strong signals from group-level population information- to achieve low-cost recourses across protected groups.fl (p. n/a) 

---","- **Alignment with user preferences** (continuous feature scores, categorical rankings, feature bounds) 

- **Feasibility** given personal constraints 

- **Plausibility** based on similarity to approved cases in the individual™s subgroup 

- **Transparency** to build trust 

- **Fairness** across groups with different distributional characteristics

---","- **Framework/Approach Name(s):** Not formally named, but described as constrained optimization incorporating user preferences and group-level plausibility metrics. 

- **Methods/Levers:** Optimization function embedding individual preferences; plausibility score constraint based on subgroup-approved distribution. 

- **Operational Steps / Workflow:** 

 1. Collect individual user preferences (three types). 

 2. Integrate these as constraints in recourse optimization. 

 3. Calculate group-level plausibility score. 

 4. Generate recourse maximizing plausibility while respecting user constraints. 

- **Data & Measures:** Real-world datasets; plausibility score; recourse cost metrics. 

- **Implementation Context:** Lending, insurance, hiring decisions. 

> fiWe propose to capture- three types of user preferences- and embed them into an optimization function for guiding the recourse generation mechanism.fl (p. n/a) 

> fiWe quantify plausibility of recourse with respect to the approved sub-population of the individual™s group-fl (p. n/a) 

---",[],[],[],[],[],Education / Learning
In Search of an Alternative Framework for the Creation of Actionable Knowledge: Table-Tennis Research at Ericsson,2001,Organizational Studies / Management Science,"Participatory Inquiry, Actionable Knowledge, Knowledge-Based Firms",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,95,90,"The paper develops and illustrates the fiTable-Tennis Researchfl approach Š a participatory inquiry framework designed to generate actionable knowledge by integrating practitioners and academics throughout the research cycle. Drawing on ten projects over six years at Ericsson, the authors identify contextual, focus-related, and process-related factors that enable actionable outcomes. The method emphasizes fired and hotfl issues (strategically important and timely), iterative jam sessions for theory building and validation, and the creation of intermediate theories bridging local action and broader theory. The study positions table-tennis research as superior in meeting Habermas™ technical, practical, and emancipatory interests, arguing for its capacity to simultaneously produce scientific and applied value.","Actionable knowledge is defined as knowledge that both advances scientific understanding and directly informs local theories for action, guiding organizational improvements in real-time.

> fiActionable knowledge was defined as new knowledge that advances our scientific body of knowledge and simultaneously leads to the development of intermediate theories and local theories of action.fl (p. 59) 

> fiIn the context of generating knowledge for action, it is vital that many perspectives are used- and that the ongoing analysis and validation work affect the research design as it evolves.fl (p. 53)","- Relevance to fired and hotfl issues (strategic importance, timeliness, perceived as critical by both academics and practitioners) 

- Iterative testing and refinement of intermediate theories through actual experiments 

- Boundary-spanning integration of perspectives, domains (action/reflection), and phases (design, data, validation) 

- Close alignment with organizational decision-making and strategic discourse 

- Mutual ownership of research questions, process, and interpretation","- **Framework/Approach Name:** Table-Tennis Research 

- **Methods/Levers:** Iterative jam sessions, intermediate theories, real-time experimentation, boundary-spanning teams 

- **Operational Steps / Workflow:** Identify red/hot issues 
®
 form mixed teams 
®
 conduct jam sessions (data collection, analysis, validation) 
®
 develop intermediate theories 
®
 test through organizational experiments 
®
 refine theories and actions iteratively 

- **Data & Measures:** Qualitative data from organizational settings, observations, experimental outcomes, validation in real work context 

- **Implementation Context:** Multi-project, multi-year collaboration at Ericsson involving engineers, managers, and academic researchers 

> fiResearch in real-time and on red and hot issues- provides opportunities for validating actionability in knowledge created through simultaneous creation and use.fl (p. 51) 

> fiThe jam sessions- act as the enabling context within which actionable knowledge creation occurs.fl (p. 58)",[],[],[],[],[],Organizational Studies
Implementing evidence-based assertions of clinical actionability in the context of secondary findings: Updates from the ClinGen Actionability Working Group,2024,Genomic Medicine / Clinical Genetics,"Clinical actionability, secondary genomic findings, evidence-based frameworks",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,98,95,"This article presents the ClinGen AWG™s development of an evidence-based fiassertion rubricfl to generate standardized statements (assertions) about the clinical actionability of geneŒcondition pairs in the context of secondary genomic findings. Building on an existing semi-quantitative metric (SQM) scoring four domains (severity, likelihood, effectiveness, nature/burden of intervention), the AWG iteratively refined a rubric through four versions, incorporating feedback from members and pragmatic application to over 350 geneŒcondition pairs. The final rubric uses a four-tier scaleŠlimited, moderate, strong, and definitiveŠbased on highest-scoring outcome/intervention pairs, with clear criteria and guidelines for adjusting preliminary assertions. It integrates factors such as quality of evidence, intervention feasibility, and clinical adoption. The framework enhances interpretability and consistency, aiming to improve decision-making for returning secondary findings.

---","The authors define clinical actionability as the potential for an intervention, informed by genetic findings, to prevent, mitigate, or treat adverse health outcomes, either pre-symptomatically or in ongoing disease contexts. 

> fiClinical actionability in this context includes interventions that could be implemented to mitigate or prevent associated future health outcomes- as well as changes in care to treat ongoing health outcomes.fl (p. 2) 

> fiThe assertion process allows the AWG to capture- effectiveness of medical interventions- penetrance of outcomes and the impact of the condition to the individual patient.fl (p. 6)

---","- Severity of health outcome 

- Likelihood (penetrance) of outcome 

- Effectiveness of intervention in preventing/mitigating outcome 

- Nature/burden of intervention 

- Strength and quality of supporting evidence 

- Contextual adoption in clinical practice 

- Ethical or feasibility constraints on gathering more evidence

---","- **Framework/Approach Name(s):** ClinGen Actionability Assertion Rubric 

- **Methods/Levers:** 4-domain SQM scoring 
®
 preliminary assertion 
®
 expert discussion 
®
 consensus assertion 

- **Operational Steps / Workflow:** 

 1. Score outcomeŒintervention pairs in four domains (0Œ3 each). 

 2. Identify highest-scoring O/I pair for each geneŒcondition pair. 

 3. Generate preliminary assertion using score thresholds. 

 4. Discuss in AWG meetings; consider additional predefined factors. 

 5. Document rationale for final assertion. 

- **Data & Measures:** Evidence from systematic reviews, meta-analyses, clinical guidelines; penetrance studies; intervention outcome data. 

- **Implementation Context:** Applied to both adult and pediatric geneŒcondition pairs across 350+ cases. 

> fiThe total score is the sum of the four domain scores- used to generate the preliminary assertion of actionability.fl (p. 6) 

> fiThe assertion level can be changed based on- poor-quality evidence- interventions widely used- or when further evidence would be unethical.fl (p. 6)

---",[],[],[],[],[],Healthcare / Clinical
Identifying actionable strategies: using Consolidated Framework for Implementation Research (CFIR)-informed interviews to evaluate the implementation of a multilevel intervention to improve colorectal cancer screening,2021,Implementation Science / Public Health,"Colorectal cancer screening, evidence-based intervention implementation",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,False,True,True,85,90,"The paper uses the Consolidated Framework for Implementation Research (CFIR) to analyze the implementation of three EBIs to improve colorectal cancer (CRC) screening in a large urban FQHC. Sixteen interviews with providers, CRC stewards, and administrators revealed barriers (e.g., EHR reminder fatigue, unreliable data, cultural/linguistic challenges, lack of screening goals, poor communication, absence of patient materials) and facilitators (e.g., quarterly feedback reports, workflow integration, HRSA reporting incentives, peer pressure, teamwork culture). The authors propose actionable strategies, including morning huddles, standing orders, improved feedback mechanisms, quality dashboards, and culturally tailored patient materials. The study illustrates how CFIR can guide post-implementation evaluation and generate practical, context-specific strategies.

---","Actionability is understood implicitly as the ability to **translate findings about barriers/facilitators into concrete, context-appropriate strategies that improve EBI adoption and sustainability**. Actionable strategies must address identified contextual determinants, integrate into existing workflows, and support measurable improvement in CRC screening. 

> fiBy identifying the contextual determinants, we can then determine implementation strategies to facilitate adoption and move EBIs to daily practice.fl (p. 2) 

> fiThe ultimate goal- was to identify possible implementation strategies- to promote CRC screening- in FQHC settings.fl (p. 11)

---","- Based on clearly identified barriers/facilitators from stakeholders

- Integrates with existing workflows to minimize disruption

- Distributes responsibility (team-based rather than provider-centric)

- Supported by clear goals and performance feedback

- Supported by culturally and linguistically appropriate resources

- Tied to measurable indicators (e.g., screening rates, completion rates)

- Supported by leadership engagement and organizational incentives

---","- **Framework/Approach Name(s):** CFIR-guided post-implementation formative evaluation

- **Methods/Levers:** Qualitative interviews; barrier/facilitator mapping; context-specific strategy design

- **Operational Steps / Workflow:**

 - Conduct CFIR-based stakeholder interviews

 - Code responses into CFIR constructs

 - Identify contextual barriers/facilitators

 - Develop targeted strategies (e.g., morning huddles, standing orders, dashboards)

- **Data & Measures:** EHR-based screening rates, provider order rates, completion rates, qualitative feedback

- **Implementation Context:** Large urban FQHC with diverse patient populations and resource constraints 

> fiWe will tackle the two barriers related to the EHR provider reminder- using a teamwork-based approach-fl (p. 12) 

> fiGoals direct attention and action- Specific and challenging goals can lead to better task performance-fl (p. 12Œ13)

---",[],[],[],[],[],Healthcare / Clinical
"Human Resources-Based Organizational Data Mining (HRODM): Themes, Trends, Focus, Future",2023,"Human Resource Management, Data Science","Human Resources Analytics, Organizational Data Mining, ROI-based Analysis",Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,92,95,"This chapter reviews and synthesizes the literature on Human Resources-Based Organizational Data Mining (HRODM) through an ROI lens. It traces the evolution of HRODM research from 2000Œ2016, categorizes contributions into empirical, conceptual, case-based, and technical clusters, and applies the LAMP framework (Logic, Analytics, Measurement, Process) to assess ROI potential. Four dominant trends emerge: HRODM as a strategic management tool, evidence-based approach, decision-making support tool, and management fad. The author argues for prioritizing empirical and conceptual research due to higher ROI outcomes, provides a structured table of HR tasks with tools and expected ROI, and presents two detailed implementation examples: workforce analytics for turnover and a recruitment decision support tool. 

---","Actionability is framed as the transformation of HR data into fivaluable and actionable knowledgefl to improve decision-making and achieve strategic goals. ROI is positioned as a filter for determining the value of actionable insights.

> fiODM is defined as leveraging- tools- to transform data into valuable and actionable knowledge to gain a strategic competitive advantagefl (p. 833). 

> HRODM aims fito provide an organization with insights for effectively managing employees- to achieve business goals quickly and efficientlyfl (p. 834). 

---","- Insights must be relevant to organizational strategy (goal alignment).

- They must be derived from structured analytics (LAMP components).

- ROI must be demonstrable to justify adoption.

- Outputs must be interpretable and implementable by practitioners.

- Contextual fit between analytics tools and organizational challenges.

---","- **Framework/Approach Name(s):** ROI-based approach, LAMP framework (Logic, Analytics, Measurement, Process). 

- **Methods/Levers:** Systematic literature review; classification of studies; mapping ROI levels to research clusters; application of descriptive and predictive analytics to HR tasks. 

- **Operational Steps / Workflow:** Identify HR challenge 
®
 select analytics tools 
®
 conduct analysis 
®
 interpret results in ROI terms 
®
 guide strategic decision-making. 

- **Data & Measures:** HR metrics, organizational KPIs, turnover data, satisfaction scores, recruitment success rates. 

- **Implementation Context:** Strategic HRM, talent management, workforce planning, recruitment, retention, training, compensation. 

> fiThe ROI-based approach- provides a robust tool to compare and contrast different dilemmas and associated values- supports continuous improvementfl (p. 847). 

> fiExtraction of interpretable and actionable insightsfl in recruitment decisions (p. 859).

---",[],[],[],[],[],"Human Resource Management, Data Science"
How Clinicians Conceptualize fiActionabilityfl in Genomic Screening,2023,Genomic Medicine / Medical Ethics,Actionability in population genomic screening,Eligible,N/A,N/A,Yes,Yes,No,Yes,True,True,True,True,True,True,90,75,"This qualitative study investigates how cliniciansŠprimary care providers, clinical geneticists, and genetic counselorsŠconceptualize and apply the notion of fiactionabilityfl in genomic screening. Drawing on semi-structured interviews with 35 participants, the authors find significant variation in definitions, ranging from narrow criteria tied to proven interventions to broad interpretations including psychosocial impact. The study identifies two main axes of disagreement: (1) the amount and type of evidence required to deem genomic data actionable, and (2) which clinical actions must be available to justify returning results. Evidence standards vary between specialties, with geneticists focusing on variant classification accuracy and primary care physicians emphasizing population-level trial data. Institutional capacityŠespecially resource limitations and follow-up careŠshapes which results are returned. The authors argue that actionability is as much a social and political construct as a scientific one, and they recommend community-engaged, transparent decision-making for genomic sc

---","Definitions range from narrow (fipathogenic change with known treatment or surveillance saving livesfl) to broad (fiany potential to modify life choices or medical treatment, now or in the future, including psychosocial impactsfl). 

> fiActionable would have to be a truly pathogenic change, for which there is a known treatment or surveillance recommendation that impacts a lifetime of medical management and saves lives.fl Š Clinical geneticist (p. 5) 

> fiI think of [actionability] really broadly: anything that has the potential, either now or in the future, to modify either life choices or medical treatment- consider the social and emotional aspects- very personal.fl Š Clinical geneticist (p. 5)

---","- Strong evidence of pathogenicity and penetrance 

- Efficacy, burden, and availability of interventions 

- Severity of potential disease 

- Potential for life modification, clinical trial enrollment, or psychosocial benefit 

- Alignment with patient™s values and personal utility 

- Institutional capacity to act on the result 

---",,[],[],[],[],[],Healthcare / Clinical
Genomically matched therapy in refractory colorectal cancer according to ESMO Scale for Clinical Actionability of Molecular Targets: experience of a comprehensive cancer centre network,2023,Oncology,Precision oncology; colorectal cancer; genomic profiling; clinical actionability,Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,False,False,True,78,72,"This paper reports on a cohort of 187 heavily pretreated mCRC patients enrolled in an expanded genomic profiling program between 2015Œ2020 to assess prevalence of ESCAT-defined genomic alterations and inclusion in biomarker-guided trials (BGTs). Using next-generation sequencing (NGS) on FFPE tumor samples, alterations were classified per ESCAT levels IŒIV. Druggable alterations were identified in 28.9% of patients, most commonly in ESCAT III and IV categories, but only 2.7% were ultimately enrolled in BGTs. Findings highlight the feasibility of EGP in reference centers, the low trial inclusion rate, and suggest improvements such as refining NGS panels, adjusting timing of testing, and integrating liquid biopsy to capture tumor evolution.

---","Actionability is conceptualized through the ESCAT framework, which ranks genomic alterations based on clinical evidence supporting targeted therapy use:

> fiThe clinical value according to ESMO Scale for Clinical Actionability of Molecular Targets (ESCAT) classification clearly differs between themfl (p. 2) 

> fiESCAT I- validated in clinical trials- ESCAT IV- preclinical datafl (Table 1, p. 2)

---","- Validation in prospective clinical trials (ESCAT I)

- Evidence of response in phase I/II or retrospective studies (ESCAT II)

- Validated in other malignancies (ESCAT III)

- Supported only by preclinical data (ESCAT IV)

- Molecular relevance to drug targeting

- Potential inclusion in biomarker-guided clinical trials

---","- **Framework/Approach Name(s):** ESCAT (ESMO Scale for Clinical Actionability of Molecular Targets) 

- **Methods/Levers:** Classification of genomic alterations; NGS profiling; molecular tumor boards; clinical trial matching 

- **Operational Steps / Workflow:** Patient selection 
®
 FFPE tumor sample 
®
 NGS mutation, CNA, fusion analysis 
®
 ESCAT classification 
®
 referral to BGTs 

- **Data & Measures:** Prevalence of ESCAT IŒIV alterations; trial inclusion rates 

- **Implementation Context:** Precision oncology in a comprehensive cancer center 

> fiEGP programmes in patients with advanced CRC are feasible and identify a subset of patients with potentially druggable genomic alterationsfl (p. 1) 

> fiFinal inclusion rate in biomarker-guided clinical trials was 2.7%fl (p. 2)

---",[],[],[],[],[],Healthcare / Clinical
Generic Project Definitions for Improvement of Health Care Delivery: A Case-Based Approach,2011,Health Care Management / Quality Improvement,Lean Six Sigma; Process Improvement; Case-Based Reasoning; Health Care Delivery Optimization,Eligible,N/A,N/A,Yes,Yes,Yes,Yes,True,True,True,True,True,True,90,95,"This study analyzes 271 Lean Six Sigma process improvement projects from hospitals in the Netherlands and Belgium (2002Œ2009). The authors use case-based reasoning to distill recurring patterns into nine figeneric project definitionsfl that serve as templates for defining future projects. Each template includes a rationale, a CTQ (critical-to-quality) flowdown, operational definitions, and a prototypical example. The focus is on making project definitions more precise, relevant, and implementable, thus enabling fiactionable knowledgefl transfer. The templates cover themes such as cost reduction, revenue increase, patient safety, and satisfaction. By stripping case-specific details and focusing on mid-level generality, the authors make the lessons reusable across contexts, supporting practitioners in selecting, defining, and operationalizing improvement initiatives effectively.

---","Actionability is framed as the ability to define improvement projects in a way that enables efficient selection, measurable operationalization, and practical implementation using structured, reusable templates derived from real-world cases.

> fiThe purpose of this article is to create actionable knowledge, making the definition of process improvement projects in health care delivery more effective.fl (p. 152) 

> fiThese templates function as exemplars for future process improvement projects, making the selection, definition, and operationalization of similar projects more efficient.fl (p. 152)

---","- Clear linkage between project objectives and organizational strategy

- Explicit operational definitions through CTQ flowdown

- Use of measurable indicators

- Mid-level generality (removing excessive context-specificity)

- Reusability of template structures

- Direct connection to performance dimensions (cost, safety, satisfaction, throughput)

---","- **Framework/Approach Name(s):** Lean Six Sigma methodology; Case-Based Reasoning (CBR) 

- **Methods/Levers:** CTQ flowdown; standard measurement plans; operational definitions; nine generic templates. 

- **Operational Steps / Workflow:** Define 
®
 Measure 
®
 Analyze 
®
 Improve 
®
 Control (DMAIC); extract CTQs from strategic goals; match project objectives to template; adapt operational definitions; validate in review. 

- **Data & Measures:** Critical-to-Quality (CTQ) indicators linked to metrics such as LOS, resource utilization, complication rates, revenue. 

- **Implementation Context:** Hospitals in NL and BE, across multiple departments. 

> fiThe CTQ flowdown results in a measurement plan, which operationalizes a project™s objectives.fl (p. 154) 

> fiWe identified 9 generic project definition templates- proposed to serve as exemplars.fl (p. 155)

---",[],[],[],[],[],Healthcare / Clinical
