Title,Year,Eligible,TermUsed,HasDefinition,OperationalizationScore,OverallRelevanceScore,CL,CR,FE,TI,EX,GA,OpsKeywords
"A General Process Mining Framework for Correlating, Predicting and Clustering Dynamic Behavior Based on Event Logs",2015,Eligible,Yes,No,90,88,True,True,True,False,True,True,framework approach name general process mining framework implemented prom featureprediction package methods levers enrich event logs apply event selection filters generate decision regression trees operational steps workflow define analysis case dependent variable independent variables event filter manipulate enrich event perform analysis tree learning optionally cluster event based results apply process mining each cluster data measures event logs multiple process perspectives enriched derived characteristics implementation context unemployment illness-management processes fi-corrective actions place avoid conditions- results used run-time provide decision support
The Action Engine Œ Turning Process Insights into Action,2019,Eligible (implicitly focuses on making insights actionable through analysis ® recommendation ® execution workflow),No,No,80,72,True,True,True,True,True,True,framework approach name action engine fiskillfl construct contentreference oaicite index methods levers rule based triggers classification comparable processes random forest naive bayes matching predictive process monitoring random forest neural networks contentreference oaicite index operational steps workflow analyze communicate execute signals routing assignees users personal signal list text contentreference oaicite index data measures multi system event logs kpis like throughput time fulfillment process costs cycle times prioritization contentreference oaicite index implementation context enterprise processes execution bots fiadd contractfl action fills transaction parameters text contentreference oaicite index skill defined trigger routing rules signals actions- signal itself representation skill- actions recommended tasks- executed operational source systems contentreference oaicite index
A General Framework for Action-Oriented Process Mining,2020,Eligible,Yes,Yes,90,95,True,True,True,True,True,True,framework approach name general framework action-oriented process mining methods levers constraint monitor action engine object-centric event streams operational steps workflow define constraints diagnostics monitor event streams violations generate constraint instance streams evaluate action formulas produce action instance streams execute actions source systems gateways data measures event streams format constraint formulas action formulas implementation context prom plug-in tested simulated order handling process fiby analyzing constraint instance stream action engine assesses necessity actions generates actions-fl
Process Mining: A Guide for Practitioners,2022,Not Eligible,No,No,15,20,False,False,False,False,True,False,
Discovery of Improvement Opportunities in Knock-Out Checks of Business Processes,2023,Eligible,Yes,No,90,85,True,True,True,True,True,True,framework approach name knock-out check discovery analysis methods levers event analysis decision rule discovery ripper dependency detection waste metric computation operational steps workflow discover knock-out checks decision rules event logs detect dependencies among activities calculate overprocessing processing time waiting time waste identify redesign opportunities reordering relocation rule adjustment data measures event logs case activities timestamps attributes metrics include effort-per-rejection waste measures implementation context synthetic credit application process environmental permit process identify improvement opportunities knock-out checks suggest redesigns reduce overprocessing wastes
Aggregating Event Knowledge Graphs for Task Analysis,2023,Not Eligible,No,No,0,20,False,False,False,False,False,False,
Multi-perspective Concept Drift Detection: Including the Actor Perspective,2024,Not Eligible,No,No,50,30,False,False,False,False,False,False,
On the Origin of Questions in Process Mining Projects,2022,Not Eligible,No,No,40,35,False,False,False,False,False,False,
Supporting Provenance and Data Awareness in Exploratory Process Mining,2023,Not Eligible,No,No,15,20,False,False,False,False,False,False,
A Fresh Approach to Analyze Process Outcomes,2023,Eligible,No,No,85,78,True,True,True,True,True,True,framework approach name outcome flow diagrams outcome explanation method methods levers case predicate formalization event enrichment sankey-based decision visualization automated rule induction ripper attribute hiding enrichment threshold optimization operational steps workflow define outcomes enrich event select decision predicates build outcome flow diagram apply iterative rule induction refinement validate precision recall document insights data measures event attributes aggregated measures payment sums delays activity counts implementation context road traffic fine management dataset fiwe believe approach assist process analysts creating documenting simple rigorously validated outcome-oriented insightsfl
Defining and visualizing process execution variants from partially ordered event data,2024,Not Eligible,No,No,15,10,False,False,False,False,False,False,
Explaining Process Dynamics: A Process Mining Context Taxonomy for Sense-Making,2025,Eligible,Yes,No,85,90,True,True,True,True,True,True,framework approach name process mining context taxonomy methods levers three context levels proce
Data-Driven Simulation in Process Mining: Introducing a Reference Model,2023,Eligible,Yes,No,90,80,True,True,True,True,True,True,framework approach name reference meta-model simulation process mining methods levers event analysis process mining techniques discovery conformance checking structured parameter taxonomy operational steps workflow extract process aspects event logs design phase specify execution configurations start conditions case generation define activity resource properties choose regeneration method fixed random rule-based predictive generate executable model tools process trees data measures case attributes activity flows durations resource schedules queuing strategies decision logic implementation context demonstrated challenge event implemented python-based automatic model generators tools process trees fi-translate tools model format readable tools engine
Predictive Business Process Monitoring with LSTM Neural Networks,2017,Not Eligible,No,No,30,20,False,False,False,False,False,False,paper operationalizes predictive modeling does link results actionability
Knowledge Generation Model for Visual Analytics,2014,Eligible,No,No,82,88,True,True,True,True,True,True,framework approach name knowledge generation model visual analytics methods levers integration computational processes data models visualizations human reasoning loops exploration verification knowledge generation operational steps workflow iterative cycles actions findings hypotheses insights knowledge mapping actions visual model components feedback loops reasoning refinement data measures representative high-quality data provenance metadata trust assessment implementation context applied multiple visual analytics systems jigsaw knime tableau harvest comparative evaluation fiour model- provides useful guideline developing evaluating systems
Towards Understanding the Role of the Human in Event Log Extraction,2022,Not Eligible,No,No,10,20,False,False,False,False,False,False,
Where Did I Misbehave? Diagnostic Information in Compliance Checking,2012,"Eligible (implicitly and substantively addresses the state of being actionable via fidiagnostic information,fl localization of deviations, quantified conformance, and ProM-supported workflows)",No,No,82,68,True,True,True,True,True,True,
Outlier Detection Techniques for Process Mining Applications,2008,Not Eligible,No,No,0,15,False,False,False,False,False,False,
Algorithms for Anomaly Detection of Traces in Logs of Process Aware Information Systems,2013,Not Eligible,No,No,40,20,False,False,False,False,False,False,
Addressing the Contemporary Challenges of Business Process Compliance: The Case for Process Mining in the Banking Industry,2025,Eligible,Yes,No,80,85,True,True,True,True,True,True,framework approach name bpcc feature mapping compliance management lifecycle integrated process mining methods levers extraction compliance requirements risk control registers instantiation rule templates event log-based compliance checking root cause analysis operational steps workflow compile compliance requirements unified risk obligations control register formalize rules compliance rule templates apply event logs design-time run-time post-execution compliance checking visualization analytics detect violations root causes process improvement opportunities data measures event logs process models compliance rules violation metrics frequency duration resource usage implementation context australian banking sector compliance other regulations fitaking organization rocr compliance requirements source using event logs design-time run-time compliance checkingfl
